ch	tdc	adcc																	tdc min	mid	max		
1	3465	2.425336	3	3348	9.634874	15	3285	2.712954	18	3333	2.47461	27	3237	8.97204	30	3307	2.533327		3285	3348	3465	-63	117
5	3273	5.346312	8	3903	3.769571	10	3294	5.269334	16	3862	3.714499	19	3350	4.985786	20	3281	5.224044		3273	3294	3903	-21	609
1	4094	4.890753	12	3261	3.754272	15	3272	3.984866	25	3320	3.855864	27	3895	4.82269	28	3219	3.748448		3261	3272	4094	-11	822
2	3336	9.687231	4	3431	8.554174	10	3312	4.520384	17	3196	4.569275	25	3333	9.621565	26	3278	7.824657		3312	3336	3431	-24	95
0	3997	6.783453	6	3353	2.679236	7	3325	5.073721	17	3937	6.635777	18	3290	2.594834	25	3281	5.150834		3325	3353	3997	-28	644
2	3360	4.177088	6	4700	2.782169	10	3250	8.43719	25	4697	1.666748	29	3390	4.914763	31	3264	7.114038		3250	3360	4700	-110	1340
2	3254	8.362677	5	3291	7.524268	9	3364	6.117743	26	3265	7.108886	28	3217	7.534094	31	3391	5.509923		3254	3291	3364	-37	73
3	3521	6.138335	6	3261	6.673039	7	4061	6.793188	21	3214	3.695942	24	3279	6.038434	25	4032	6.445805		3261	3521	4061	-260	540
0	3047	9.226168	6	2981	5.602535	12	3727	6.798953	17	2953	9.167513	24	3755	6.169745	26	2982	5.351035		2981	3047	3727	-66	680
4	3404	9.462988	5	3659	7.767388	7	3292	8.824371	27	3154	8.65621	28	3254	9.290322	30	3606	7.537338		3292	3404	3659	-112	255
5	3831	4.110449	6	3238	2.843928	15	3766	6.270171	21	3207	2.658393	25	3815	6.096368	29	3828	3.993505		3238	3766	3831	-528	65
3	3340	7.683827	5	3722	5.660343	6	3242	3.811499	19	3363	7.275724	21	3234	3.488432	24	3605	4.53341		3242	3340	3722	-98	382
1	3400	2.017829	6	3238	8.340554	14	4555	6.154985	18	3227	8.343752	19	4647	6.105311	28	3230	1.504379		3238	3400	4555	-162	1155
3	3483	7.431726	4	3422	5.362757	12	3238	6.569354	21	3259	6.486948	27	3210	5.192973	31	3524	6.758696		3238	3422	3483	-184	61
2	4068	7.93882	6	3228	5.880454	8	3357	5.010186	21	4056	7.254734	25	3266	6.178589	27	3272	7.196858		3228	3357	4068	-129	711
11	4713	5.303193	12	3251	3.285091	14	3282	0.959066	17	3225	1.063794	21	4709	5.594656	22	3193	2.160316		3251	3282	4713	-31	1431
3	4700	3.715968	7	3341	4.993278	10	3317	5.65393	20	3312	5.555584	24	3300	4.129376	25	4733	2.807555		3317	3341	4700	-24	1359
2	4792	1.337246	5	3399	2.986016	7	3274	4.701672	17	3129	4.688288	27	3879	9.625481	29	3316	3.042529		3274	3399	4792	-125	1393
